=== full logs ===
captured: 2026-09-06T08:48:08.752Z

smart-ac-queue  | 2026-09-06T08:39:36.537851959Z 2026-09-06T08:39:36.537Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:41.544676331Z 2026-09-06T08:39:41.544Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:41.544975642Z 2026-09-06T08:39:41.544Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:41.545160277Z 2026-09-06T08:39:41.545Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:46.553433665Z 2026-09-06T08:39:46.553Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:46.553713319Z 2026-09-06T08:39:46.553Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:46.553903617Z 2026-09-06T08:39:46.553Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:51.562553282Z 2026-09-06T08:39:51.562Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:51.563066018Z 2026-09-06T08:39:51.562Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:51.563374079Z 2026-09-06T08:39:51.563Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:56.569592977Z 2026-09-06T08:39:56.569Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:56.569937906Z 2026-09-06T08:39:56.569Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:56.570205360Z 2026-09-06T08:39:56.570Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:00.997517417Z 2026-09-06T08:40:00.997Z DEBUG [queue] send 1 -> ai-jobs
smart-ac-queue  | 2026-09-06T08:40:01.003632847Z 2026-09-06T08:40:01.003Z DEBUG [queue] send 1 -> ai-jobs
smart-ac-queue  | 2026-09-06T08:40:01.010155438Z 2026-09-06T08:40:01.009Z DEBUG [queue] send 1 -> ai-jobs
smart-ac-queue  | 2026-09-06T08:40:01.048366615Z 2026-09-06T08:40:01.048Z DEBUG [queue] send 1 -> actuator-jobs
smart-ac-queue  | 2026-09-06T08:40:01.578182830Z 2026-09-06T08:40:01.577Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:01.578529720Z 2026-09-06T08:40:01.578Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:01.578728506Z 2026-09-06T08:40:01.578Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:06.586875281Z 2026-09-06T08:40:06.586Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:06.587134586Z 2026-09-06T08:40:06.587Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:06.587489543Z 2026-09-06T08:40:06.587Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:11.597397337Z 2026-09-06T08:40:11.597Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:11.597609000Z 2026-09-06T08:40:11.597Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:11.597809537Z 2026-09-06T08:40:11.597Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:16.606349401Z 2026-09-06T08:40:16.606Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:16.606710887Z 2026-09-06T08:40:16.606Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:16.606887596Z 2026-09-06T08:40:16.606Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:21.619676487Z 2026-09-06T08:40:21.619Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:21.619844160Z 2026-09-06T08:40:21.619Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:21.620096421Z 2026-09-06T08:40:21.619Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:26.627433736Z 2026-09-06T08:40:26.627Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:26.627765581Z 2026-09-06T08:40:26.627Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:26.627976207Z 2026-09-06T08:40:26.627Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:31.635791052Z 2026-09-06T08:40:31.635Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:31.643407237Z 2026-09-06T08:40:31.642Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:31.644357804Z 2026-09-06T08:40:31.644Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:36.645049410Z 2026-09-06T08:40:36.644Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:36.645514973Z 2026-09-06T08:40:36.645Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:36.645790747Z 2026-09-06T08:40:36.645Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:41.653927244Z 2026-09-06T08:40:41.653Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:41.655223937Z 2026-09-06T08:40:41.655Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:41.655791482Z 2026-09-06T08:40:41.655Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:46.660546286Z 2026-09-06T08:40:46.660Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:46.660994912Z 2026-09-06T08:40:46.660Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:46.661005723Z 2026-09-06T08:40:46.660Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:51.674048228Z 2026-09-06T08:40:51.673Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:51.674279032Z 2026-09-06T08:40:51.674Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:51.674464385Z 2026-09-06T08:40:51.674Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:56.684796897Z 2026-09-06T08:40:56.684Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:56.685048414Z 2026-09-06T08:40:56.684Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:40:56.685205769Z 2026-09-06T08:40:56.685Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:41:00.018874764Z 2026-09-06T08:41:00.018Z DEBUG [queue] send 1 -> ai-jobs
smart-ac-queue  | 2026-09-06T08:41:00.026069625Z 2026-09-06T08:41:00.025Z DEBUG [queue] send 1 -> ai-jobs
smart-ac-queue  | 2026-09-06T08:41:00.031519747Z 2026-09-06T08:41:00.031Z DEBUG [queue] send 1 -> ai-jobs
smart-ac-queue  | 2026-09-06T08:41:00.266769202Z 2026-09-06T08:41:00.266Z DEBUG [queue] send 1 -> actuator-jobs
smart-ac-queue  | 2026-09-06T08:41:00.276005682Z 2026-09-06T08:41:00.275Z DEBUG [queue] send 1 -> actuator-jobs
smart-ac-queue  | 2026-09-06T08:41:01.692059485Z 2026-09-06T08:41:01.691Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:41:01.692507798Z 2026-09-06T08:41:01.692Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:41:01.692808484Z 2026-09-06T08:41:01.692Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:41:06.705442552Z 2026-09-06T08:41:06.705Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:41:06.705768927Z 2026-09-06T08:41:06.705Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:41:06.706186610Z 2026-09-06T08:41:06.706Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:41:11.711502496Z 2026-09-06T08:41:11.711Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:41:11.711745219Z 2026-09-06T08:41:11.711Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:41:11.712414482Z 2026-09-06T08:41:11.711Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:41:16.724882001Z 2026-09-06T08:41:16.724Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:41:16.725147550Z 2026-09-06T08:41:16.725Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:41:16.725292202Z 2026-09-06T08:41:16.725Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:41:21.731539409Z 2026-09-06T08:41:21.731Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:41:21.731754800Z 2026-09-06T08:41:21.731Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:41:21.731913200Z 2026-09-06T08:41:21.731Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:41:26.742989569Z 2026-09-06T08:41:26.742Z DEBUG [queue] send 1 -> telemetry
